repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
847|3854	Y_OTU_30995	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	Plectosporium sp CBS 116708
847|3868	Y_OTU_17315	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|3908	Y_OTU_17204	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|3957	Y_OTU_17267	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|3966	Y_OTU_28380	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|3972	Y_OTU_28449	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unclassified_Fusarium
847|4005	Y_OTU_17307	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|401	Y_OTU_28403	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4014	Y_OTU_4270	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium tenellum
847|4056	Y_OTU_28456	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4070	Y_OTU_28430	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4077	Y_OTU_17233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|4081	Y_OTU_28376	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4109	Y_OTU_17272	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|4117	Y_OTU_17200	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|4133	Y_OTU_28400	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4141	Y_OTU_28470	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4172	Y_OTU_28412	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4183	Y_OTU_18476	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|4196	Y_OTU_28416	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|42	Y_OTU_28409	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
847|4246	Y_OTU_1102	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
847|43	Y_OTU_18461	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
