repseq	OTUS	domain	phylum	class	order	family	genus	species
913	Y_OTU_102	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
1352	Y_OTU_117	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
1451	Y_OTU_212	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unclassified_Nectriaceae	unclassified_Nectriaceae
3570	Y_OTU_57	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
5370	Y_OTU_253	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales
697	Y_OTU_10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus truncorum
778	Y_OTU_79	Fungi	Basidiomycota	Agaricomycetes	Polyporales	unclassified_Polyporales	unclassified_Polyporales	unclassified_Polyporales
817	Y_OTU_129	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
1853	Y_OTU_194	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium colombiae
2865	Y_OTU_148	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
1945	Y_OTU_195	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cladosporium	Cladosporium halotolerans
361	Y_OTU_254	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriopsis	Phaeosphaeria oryzae
524	Y_OTU_130	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cladosporium	unclassified_Cladosporium
1876	Y_OTU_123	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pleospora	Stemphylium globuliferum
1366	Y_OTU_160	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
2488	Y_OTU_68	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
2809	Y_OTU_272	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
3321	Y_OTU_120	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Penicillium minioluteum
3344	Y_OTU_131	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Phomopsis	unclassified_Phomopsis
347	Y_OTU_95	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum hirsutum
360	Y_OTU_58	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces coudertii
4370	Y_OTU_288	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	unclassified_Cryptococcus
5456	Y_OTU_152	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma caribbica
581	Y_OTU_270	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium infirmominiatum
583	Y_OTU_267	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_Incertae sedis	Candida	Candida tropicalis
5858	Y_OTU_168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Acremonium	Acremonium strictum
6134	Y_OTU_33	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Eurotiales_Incertae sedis	Thermomyces	Thermomyces lanuginosus
176	Y_OTU_157	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidiella	Leucosporidiella fragaria
1880	Y_OTU_247	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Phoma novae_verbascicola
2344	Y_OTU_311	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
