repseq	OTUS	domain	phylum	class	order	family	genus
695|417	OTU_3486	acteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII	Mogibacterium
695|479	OTU_3487	acteria	Proteobacteria	etaproteobacteria	unclassified_etaproteobacteria	unclassified_etaproteobacteria	unclassified_etaproteobacteria
695|488	OTU_434	Archaea	Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota	unclassified_Woesearchaeota
695|504	OTU_3565	acteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
695|512	OTU_2767	acteria	Verrucomicrobia	Spartobacteria	unclassified_Spartobacteria	unclassified_Spartobacteria	Spartobacteria_genera_incertae_sedis
695|548	OTU_2760	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|566	OTU_2761	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|6	OTU_2768	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|662	OTU_2759	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|78	OTU_2766	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
695|93	OTU_3585	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
696|26	OTU_2777	acteria	Chlamydiae	Chlamydiia	Chlamydiales	Simkaniaceae	Simkania
696|271	OTU_2774	acteria	acteroidetes	acteroidia	acteroidales	unclassified_acteroidales	unclassified_acteroidales
696|276	OTU_2775	acteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
696|288	OTU_2776	acteria	Firmicutes	acilli	acillales	Thermoactinomycetaceae 2	Planifilum
696|580	OTU_2773	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|16	OTU_2783	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|183	OTU_2784	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|20	OTU_2785	acteria	acteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter
697|217	OTU_436	acteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	revundimonas
697|234	OTU_2780	acteria	acteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified_Sphingobacteriales	unclassified_Sphingobacteriales
697|240	OTU_2787	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|256	OTU_2786	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|258	OTU_2779	acteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
697|47	OTU_435	acteria	Proteobacteria	etaproteobacteria	urkholderiales	Alcaligenaceae	unclassified_Alcaligenaceae
697|55	OTU_3488	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
697|58	OTU_3566	acteria	Verrucomicrobia	Subdivision3	unclassified_Subdivision3	unclassified_Subdivision3	Subdivision3_genera_incertae_sedis
